patronBusqueda,multitienda,descripcion,precioPesos,precioUf
notebook hp,Falabella,Victus 15-FA0001LA Intel Core i5-12450H 16GB...,949990,26.327567720066835
notebook hp,Falabella,Notebook Gamer Victus Intel Core i5 8GB RAM...,679990,18.844917076988438
notebook hp,Falabella,Notebook HP Gamer Victus 16-D0500LA Intel Core...,899990,24.941891675052315
notebook hp,Falabella,Notebook HP 14-dq2501la Intel Core i3 4 GB 256 GB...,354990,9.838022784394072
notebook hp,Falabella,Notebook HP Pavilion 15-EG0503LA Intel Core...,539990,14.965024150947787
notebook hp,Falabella,Notebook Gamer Victus Intel Core i5 8GB RAM...,679990,18.844917076988438
notebook hp,Falabella,Notebook HP Pavilion 15-Eh0004 AMD Ryzen3...,339990,9.422319970889717
notebook hp,Falabella,HP Pavilion 14-DV2002LA Intel Core i5 12va Gen....,789990,21.893404376020378
notebook hp,Falabella,NOTEBOOK HP 240 G9 CELERON N4500 8GB...,209990,5.819562253851972
notebook hp,Falabella,Notebook HP 15-ef2516la AMD Ryzen3 8GB RAM...,399990,11.085131224907139
notebook hp,Falabella,Notebook HP 14-DQ2024LA Intel Core...,349990,9.69945517989262
notebook hp,Falabella,Notebook Gamer Victus 16-D0515LA Intel Core...,999990,27.71324376508135
notebook hp,Falabella,Notebook HP 15-DY5000LA Intel Core i5...,529990,14.687888941944884
notebook hp,Falabella,HP Notebook 15-EF2528LA AMD Ryzen...,469990,13.025077687927464
notebook hp,Falabella,Notebook HP Pavilion 14-EH0105LA Intel Core i5...,989990,27.436108556078448
notebook hp,Falabella,NOTEBOOK HP 250 i5-1135g7 G8 8GB 256GB...,429990,11.916536851915849
notebook hp,Falabella,HP Notebook 15-DY2501LA Intel Core i3...,679990,18.844917076988438
notebook hp,Falabella,Notebook HP Pavilion 14-EH0103LA Intel Core i7...,1229990,34.08735357214813
notebook hp,Falabella,HP Notebook 14-DQ2508LA Intel Core...,349990,9.69945517989262
notebook hp,Falabella,Notebook Pavilion x360 14-dy0501la Intel Core...,449990,12.470807269921655
notebook hp,Falabella,HP Pavilion x360 14-DY2003LA Intel Core i5...,599990,16.62783540496521
notebook hp,Falabella,Notebook HP Pavilion 15-Eh0004 AMD Ryzen3...,339990,9.422319970889717
notebook hp,Falabella,Notebook HP 14-fq1007la AMD Ryzen3 8GB RAM...,379990,10.530860806901332
notebook hp,Falabella,Notebook HP Pavilion Aero AMD Ryzen7 5800U 16...,839990,23.279080421034894
notebook hp,Falabella,Notebook HP 14 Intel i3-1115G4 4GB 256GB SSD...,359990,9.976590388895524
notebook hp,Falabella,Notebook 14  HP 348 G7 i3-10110U 1TB 4GB W10H,479990,13.302212896930367
notebook hp,Falabella,Notebook AMD athlon gold/8GB RAM/256GB...,549990,15.242159359950692
notebook hp,Falabella,"EliteBook 840 G7 14.0"" FHD Intel Core i7 1.8GHz...",699990,19.399187494994244
notebook hp,Falabella,Notebook HP Spectre 2en1 14-EA0510LA Intel Core...,1199990,33.25594794513942
notebook hp,Falabella,HP Pavilion Plus 14-EH0100LA Intel Core...,1019990,28.267514183087158
notebook hp,Falabella,NOTEBOOK HP ELITEBOOK 840 G8...,1349990,37.41297608018297
notebook hp,Falabella,Notebook HP VICTUS 16-d0511la I5-11400H 8GB...,1079990,29.930325437104578
notebook hp,Falabella,"Notebook HP EliteBook X360 830 G6 13.3"" Core...",749990,20.78486354000876
notebook hp,Falabella,Notebook HP 240 G7 I3-1005G1 4GB 1TB HDD...,369900,10.251231381017401
notebook hp,Falabella,HP Spectre 2en1 14-EF0101LA Intel Core i7...,1599990,44.341356305255566
notebook hp,Falabella,NOTEBOOK HP PROBOOK 445G8 R5...,699990,19.399187494994244
notebook hp,Falabella,(RE) NOTEBOOK HP 240 G9 CELERON N4500 8GB...,199990,5.542427044849068
notebook hp,Falabella,NOTEBOOK HP Zbook Power G8 15.6...,1669990,46.281302768275886
notebook hp,Falabella,Notebook HP 240 I5-1035G1 8GB 1TB HDD...,583900,16.181924853679536
notebook hp,Falabella,"Notebook hp elitebook 840 g5 táctil de 14"" i5-8350u...",349990,9.69945517989262
notebook hp,Falabella,Reacondicionado hp 840 g2 elitebook i5-5200u 14in...,239990,6.650967880860682
notebook hp,Falabella,HP Elitebook 840G1 14pulgadas i5 8GB RAM...,219990,6.096697462854875
notebook hp,Falabella,Reacondicionado hp 840-g3 elitebook i5-6200u...,258990,7.177524777966199
notebook hp,Falabella,HP Elitebook 9480m 14pulgadas i7 8GB RAM...,239990,6.650967880860682
notebook hp,Falabella,Notebook HP 240 G8 Intel Core i3 + Teclado + Mouse...,389990,10.807996015904235
notebook hp,Falabella,Notebook HP Probook 445 G8 Ryzen3 5400U 8GB...,434990,12.0551044564173
notebook hp,Falabella,Notebook HP 15-ef2528la R5-5500U 8GB SSD...,659990,18.29064665898263
notebook hp,Falabella,Notebook DELL Latitude 5420 14 HD I5-1135G7...,819990,22.724810003029088
notebook hp,Falabella,Notebook HP ProBook 440 G9 i5-1235u 8GB 512GB...,863900,23.941710705760837
notebook hp,Falabella,Notebook Chromebook Hp Mediatek 4gb 32gb...,109990,3.048210163822936
notebook hp,Falabella,"NOTEBOOK HP 240 G8, Intel® Core™ i3-1115G4,...",399990,11.085131224907139
notebook hp,Falabella,HP 240 G7 Notebook PC Intel Core i3-1005G1 4GB...,749990,20.78486354000876
notebook hp,Falabella,Notebook HP 240 G8 Intel Core i5 8GB 512GB SSD...,499990,13.856483314936174
notebook hp,Falabella,Notebook Hp Stream 14 Intel Celeron 4gb 64gb...,259990,7.205238298866489
notebook hp,Falabella,HP Notebook 15-EF2528LA AMD Ryzen...,469990,13.025077687927464
notebook hp,Falabella,HP Notebook 15-DY2501LA Intel Core i3...,679990,18.844917076988438
notebook hp,Falabella,HP Spectre 2en1 14-EF0101LA Intel Core i7...,1599990,44.341356305255566
notebook hp,Falabella,Notebook HP 15-DY5000LA Intel Core i5...,529990,14.687888941944884
notebook hp,Falabella,Notebook HP 240 G7 I3-1005G1 4GB 1TB HDD...,369900,10.251231381017401
notebook hp,Falabella,NOTEBOOK HP PROBOOK 445G8 R5 5600U 8GB SSD...,699990,19.399187494994244
notebook hp,Falabella,(RE) NOTEBOOK HP 240 G9 CELERON N4500 8GB...,199990,5.542427044849068
notebook hp,Falabella,Hp Notebook 240 G8 I5-1135g7- 8gb / 512gb Ssd,489990,13.57934810593327
notebook hp,Falabella,HP ENVY 15-EP1503LA Intel Core i5-11400H...,1299990,36.02730003516846
notebook hp,Falabella,Notebook HP Pavilion 15-EG0503LA Intel Core...,539990,14.965024150947787
notebook hp,Falabella,Notebook HP ZBook Firefly G9 Intel Core i7 16GB...,1366990,37.88410593548791
notebook hp,Falabella,Notebook Hp 15t-dw300 Black 15.6 I5-11va Gen...,699990,19.399187494994244
notebook hp,Falabella,"Notebook HP 15.6"" ryzen 5 5500U 8GB 256GB SSD...",619990,17.182105822971018
notebook hp,Falabella,"HP Notebook 250G8 Ci5 8GB 256SSD 15.6"" Sin...",408491,11.320723866080506
notebook hp,Falabella,Notebook HP 240 G8 I3-1005G1 8GB 1TB HDD...,460900,12.773161782943824
notebook hp,Falabella,Notebook Hp 15.6 I3-11va Gen 8gb 256gb Ssd Plata...,499990,13.856483314936174
notebook hp,Falabella,HP Elitebook 820 G3 I7 (Windows 11 + Office...,299000,8.286342749186815
notebook hp,Falabella,HP 240 G7 Notebook PC Intel Celeron N4020 4GB...,369990,10.253725597898429
notebook hp,Falabella,Notebook Hp Negra 14 Amd Athlon Silver 3050u...,399990,11.085131224907139
notebook hp,Falabella,HP Notebook 17-cn2003ca Core i5 12GB RAM 512GB...,559990,15.519294568953596
notebook hp,Falabella,Notebook HP 15-dw4047nr Core i5 8GB RAM 256SSD...,569990,15.796429777956499
notebook hp,Falabella,PC HP 280 G5 SFF I3-10105 RAM 8GB SSD 512GB...,799990,22.17053958502328
notebook hp,Falabella,"Notebook HP 240 G9 de 14"" (Celeron N4500, Win...",299990,8.313779134878104
notebook hp,Falabella,"Notebook HP 250 G8 Intel Core i5-1135G7, 16GB...",568990,15.768716257056209
notebook hp,Falabella,Notebook HP Victus Intel Core i7-13700HX 32GB...,1499990,41.570004215226525
notebook hp,Falabella,"Hp Elitebook 845 G8 14"" Ryzen 5 5600U 8GB RAM...",1186990,32.89567217343565
notebook hp,Falabella,"HP 240 G8 14"" i3-1115G4 8GB RAM 256GB SSD...",883990,24.49847534064767
notebook hp,Falabella,"Notebook HP Celeron  240 G9, RAM 8GB, SSD 256...",221990,6.152124504655456
notebook hp,Falabella,Notebook HP Pavilion 15-eh1505la R5-5500U 8GB...,759990,21.061998749011664
notebook hp,Falabella,Notebook HP ProBook 445 G7 AMD Ryzen 5 4500U...,699990,19.399187494994244
notebook hp,Falabella,Notebook HP 14-DQ2024LA Intel Core...,349990,9.69945517989262
notebook hp,Falabella,OMEN 16-B0500LA Intel Core i7-11800H 16GB...,1399990,38.79865212519749
notebook hp,Falabella,HP Notebook 15-eh1097nr 16GB 512SSD...,789990,21.893404376020378
notebook hp,Falabella,Notebook HP Pavilion 15-eg2073cl i7 16GB 512SSD...,799990,22.17053958502328
notebook hp,Falabella,Notebook HP 240 I5-1035G1 8GB 1TB HDD...,583900,16.181924853679536
notebook hp,Falabella,NOTEBOOK HP Zbook Power G8 15.6...,1669990,46.281302768275886
notebook hp,Falabella,Notebook HP EliteBook 640 G9 Intel Core i7 16GB...,1289990,35.75016482616555
notebook hp,Falabella,Notebook Hp 250 G7 I3-1005 4gb 1tb 15.6...,505990,14.022764440337916
notebook hp,Falabella,Notebook HP 240 G8 Intel Core i3 8GB RAM + Kit...,384990,10.669428411402784
notebook hp,Falabella,Notebook HP 240 G8 Intel Core i3 + Teclado + Mouse...,374990,10.39229320239988
notebook hp,Falabella,"HP 240 G8 i3, 8GB RAM + Teclado y Mouse E4U +...",379990,10.530860806901332
notebook hp,Falabella,Notebook HP 245 G8 Ryzen5 8Gb SSD 256Gb...,555990,15.408440485352434
notebook hp,Falabella,NOTEBOOK HP ELITEBOOK 840 G8...,1349990,37.41297608018297
notebook hp,Falabella,Notebook DELL Latitude 5420 14 HD I5-1135G7...,819990,22.724810003029088
notebook hp,Falabella,Notebook HP ProBook 440 G9 i5-1235u 8GB 512GB...,863900,23.941710705760837
notebook hp,Falabella,"Notebook HP EliteBook X360 830 G6 13.3"" Core i7...",749990,20.78486354000876
notebook hp,Falabella,"EliteBook 840 G7 14.0"" FHD Intel Core i7 1.8GHz...",699990,19.399187494994244
notebook hp,Falabella,Notebook HP Probook 445 G8 Ryzen3 5400U 8GB...,434990,12.0551044564173
notebook hp,Falabella,Notebook HP ProBook 450 G9 i5-1235u 8GB 512GB...,839990,23.279080421034894
notebook hp,Falabella,"Notebook HP ZBook 14u G5 (i5 8va, 8gb de RAM,...",341990,9.477747012690298
notebook hp,Falabella,Notebook HP ProBook 440 G5 I5-8250U 8GB 500GB...,229900,6.371338454976752
notebook hp,Falabella,"Ultrabook HP EliteBook 1040 G3 (i5 6200U, 8GB...",369990,10.253725597898429
notebook hp,Falabella,"Notebook HP ProBook 440 G5 (i5 8va, 8gb de RAM,...",293990,8.147498009476362
notebook hp,Falabella,"Notebook HP EliteBook 840 G5 Tactil (i5 8va, 8gb...",305990,8.480060260279846
notebook hp,Falabella,"HP 245 G8 de 14""AMD 3020e 4GB RAM 500GB...",434990,12.0551044564173
notebook hp,Falabella,NOTEBOOK HP 245 G7 AMD RYZEN 5 3500 8GG...,439900,12.191177844037727
notebook hp,Falabella,HP Notebook 15-EF2528LA AMD Ryzen...,469990,13.025077687927464
notebook hp,Falabella,Victus 15-FA0001LA Intel Core i5-12450H 16GB...,949990,26.327567720066835
notebook hp,Falabella,Notebook HP Pavilion Aero AMD Ryzen7 5800U 16...,839990,23.279080421034894
notebook hp,Falabella,Notebook HP 15-FD0011LA Intel Core i5...,619990,17.182105822971018
notebook hp,Falabella,HP Pavilion Plus 14-EH0104LA Intel Core...,999990,27.71324376508135
notebook hp,Falabella,"Notebook HP Intel Core i3 / 8GB / 256GB SSD / 15"" /...",355990,9.865736305294362
notebook hp,Falabella,"HP Notebook 240 G8 i3 8GB 512GB SSD 14"" W11...",325841,9.030201363671509
notebook hp,Falabella,Notebook HP 240 G8 I3-1005G1 8GB 1TB HDD...,460900,12.773161782943824
notebook hp,Falabella,HP Spectre 2en1 14-EF0101LA Intel Core i7...,1599990,44.341356305255566
notebook hp,Falabella,OMEN 16-B0500LA Intel Core i7-11800H 16GB...,1399990,38.79865212519749
notebook hp,Falabella,"Kit Notebook HP 240 G8 i3, 8Gb RAM + Kit Gamer...",399990,11.085131224907139
notebook hp,Falabella,HP Elitebook 820 G3 I7 (Windows 11 + Office...,299000,8.286342749186815
notebook hp,Falabella,Notebook HP 255 G8 Ryzen 5 5500U 8GB 256 GB SSD...,489990,13.57934810593327
notebook hp,Falabella,Desktop HP 280 G5 I7-10700 / 16GB RAM /...,859990,23.8333508390407
notebook hp,Falabella,"HP EliteBook 840 G8 14""i5-1135G7 16GB RAM...",1385990,38.410662832593424
notebook hp,Falabella,Notebook HP 240 G8 I3-1005 G1 4GB 1TB  HDD...,319990,8.86804955288391
notebook hp,Falabella,"Notebook HP 240 G8 de 14“ (i5-1135G7, 8GB...",479990,13.302212896930367
notebook hp,Falabella,Notebook HP Elite Dragonfly G3 Intel Core i7...,1909990,52.93254778434557
notebook hp,Falabella,Notebook HP ZBook Power G9 Intel Core i7 16GB...,1879990,52.10114215733686
notebook hp,Falabella,Notebook HP ZBook Firefly G9 de 14 Intel Core i7...,1377990,38.1889546653911
notebook hp,Falabella,"Notebook HP 240 G8 14"" Intel Core i3, 8GB RAM +...",449990,12.470807269921655
notebook hp,Falabella,Notebook Hp 250 G7 I3-1005 4gb 1tb 15.6...,505990,14.022764440337916
notebook hp,Falabella,"Notebook HP 250 G8, Intel Core I7-1165G7 RAM...",530990,14.715602462845174
notebook hp,Falabella,Notebook HP Pavilion 15-eh1505la R5-5500U 8GB...,759990,21.061998749011664
notebook hp,Falabella,Notebook HP Spectre 2en1 14-EA0510LA Intel Core...,1199990,33.25594794513942
notebook hp,Falabella,"Ultrabook HP EliteBook 1040 G3 (i5 6200U, 8GB...",369990,10.253725597898429
notebook hp,Falabella,"Notebook HP 240 G8 14"" Intel Core i3-1115G4 8GB...",389990,10.807996015904235
notebook hp,Falabella,"Notebook HP 15.6"" ryzen 5 5500U 8GB 256GB SSD...",619990,17.182105822971018
notebook hp,Falabella,"Notebook HP G7 240 Intel I3-10th /1TB/ Free Dos /14""",359990,9.976590388895524
notebook hp,Falabella,Notebook HP Probook 445G8 R3 5400U 8GB SSD...,399990,11.085131224907139
notebook hp,Falabella,Notebook HP 15-FD0012LA Intel Core i7...,749990,20.78486354000876
notebook hp,Falabella,HP Notebook 15-EF2528LA AMD Ryzen 5-5500U 8GB...,469990,13.025077687927464
notebook hp,Falabella,NOTEBOOK HP 840 G3 I7-6600 8GB 500GB SSD...,399990,11.085131224907139
notebook hp,Falabella,Notebook HP PROBOOK 445 G8 RYZEN5 5600U...,799990,22.17053958502328
notebook hp,Falabella,Notebook HP ProBook 635 Aero 13s R75800U 8GB...,985990,27.325254472477287
notebook hp,Falabella,"Notebook HP 250 G8, I3-1115G4, RAM 8GB, SSD...",312990,8.674054906581878
notebook hp,Falabella,Notebook Elitebook HP 845 G8 Ryzen7 5800u 16Gb ...,1132900,31.396647827938942
notebook hp,Falabella,"Notebook HP 240 G8 14"" Intel Core i3, 8GB RAM  +...",449990,12.470807269921655
notebook hp,Falabella,Notebook HP Gamer Victus 16-d0501la,1199000,33.22851155944814
notebook hp,Falabella,Desktop HP 280 G5 Intel Core i5-10505 / 16GB...,779990,21.616269167017474
notebook hp,Falabella,Notebook HP  Intel Core i5-1235U 12GB RAM 512GB...,499990,13.856483314936174
notebook hp,Falabella,Notebook HP 240 G7 I3-1005G1 4GB 1TB HDD...,369900,10.251231381017401
notebook hp,Falabella,HP Spectre 2en1 14-EF0101LA Intel Core i7...,1599990,44.341356305255566
notebook hp,Falabella,NOTEBOOK HP PROBOOK 445G8 R5 5600U 8GB SSD...,699990,19.399187494994244
notebook hp,Falabella,(RE) NOTEBOOK HP 240 G9 CELERON N4500 8GB...,199990,5.542427044849068
notebook hp,Falabella,Hp Notebook 240 G8 I5-1135g7- 8gb / 512gb Ssd,489990,13.57934810593327
notebook hp,Falabella,NTBK intel N4020 4GB Ram 500GB HDD 14...,149990,4.15675099983455
notebook hp,Falabella,Notebook HP VICTUS 16-d0511la I5-11400H 8GB...,1079990,29.930325437104578
notebook hp,Falabella,Notebook HP ProBook 440 G9 i5-1235u 8GB 512GB...,863900,23.941710705760837
notebook hp,Falabella,"Notebook hp elitebook 840 g5 táctil de 14"" i5-8350u...",349990,9.69945517989262
notebook hp,Falabella,HP Elitebook 840G1 14pulgadas i5 8GB RAM...,219990,6.096697462854875
notebook hp,Falabella,HP Elitebook 9480m 14pulgadas i7 8GB RAM...,239990,6.650967880860682
notebook hp,Falabella,"Notebook HP 240 G8 14"" Intel Core i3-1115G4 8GB...",389990,10.807996015904235
notebook hp,Falabella,Notebook Hp 348 G7 I5-10210U 8Gb SSD 256GB...,489990,13.57934810593327
notebook hp,Falabella,Notebook HP 240 G8 Intel Core i3 8GB RAM +...,389990,10.807996015904235
notebook hp,Falabella,"Notebook HP 240 G8 14"" Intel Core i3-1115G4 8GB...",379990,10.530860806901332
notebook hp,Falabella,Notebook HP Pavilion 15-EG0503LA Intel Core...,539990,14.965024150947787
